iter	RMSE
0	74490.44488
1	69878.02023
2	65698.07036
3	62107.42801
4	58868.05369
5	55807.6906
6	53087.87351
7	50574.4246
8	47957.1176
9	45702.80124
10	43819.36668
11	42135.18646
12	40606.33365
13	39145.27066
14	37800.04874
15	36445.91368
16	35292.83906
17	34178.76836
18	33236.28466
19	32237.57021
20	31468.46419
21	30652.82567
22	29953.3108
23	29214.58905
24	28566.71053
25	27997.96595
26	27262.99827
27	26778.67603
28	26309.52316
29	25840.10544
30	25408.82374
31	25063.98944
32	24733.72634
33	24359.59018
34	23991.14685
35	23677.31297
36	23382.19512
37	23076.73489
38	22886.24516
39	22650.80335
40	22470.57792
41	22209.95558
42	22044.01124
43	21819.15458
44	21661.13441
45	21456.29428
46	21306.08145
47	21167.45973
48	21014.98619
49	20962.55866
