iter	Passed	Remaining
0	7	375
1	14	340
2	20	326
3	27	313
4	34	306
5	40	297
6	46	286
7	53	280
8	60	273
9	66	267
10	74	264
11	81	259
12	90	256
13	97	250
14	105	246
15	112	239
16	120	233
17	127	227
18	135	221
19	148	223
20	157	217
21	165	210
22	172	202
23	179	194
24	186	186
25	193	179
26	201	171
27	209	164
28	218	157
29	226	150
30	233	143
31	241	135
32	248	128
33	256	120
34	263	112
35	270	105
36	277	97
37	284	89
38	291	82
39	299	74
40	307	67
41	313	59
42	320	52
43	327	44
44	334	37
45	340	29
46	347	22
47	354	14
48	360	7
49	367	0
